date,NFLX,IBM,GE,GOOG,AAPL,KO,AMZN,HD,NKE,^DJI,WMT
2018-03-05,31.5,104.7313,65.4619,54.0347,41.4658,33.7552,76.1805,146.4622,57.3744,24874.7598,26.2223
2018-03-06,32.522,103.9106,66.4606,54.2393,41.4306,33.786,76.882,146.3816,57.542,24884.1191,25.9542
2018-03-07,32.116,105.6455,65.8705,54.9614,41.046,33.7014,77.25,144.7364,56.5982,24801.3594,25.5695
2018-03-08,31.7,104.2376,65.9159,55.7717,41.4939,34.1859,77.593,144.2177,57.4273,24895.2109,25.7747
2018-03-09,33.144,106.3062,67.8225,57.4578,42.2068,34.4705,78.9445,147.6379,58.4769,25335.7402,26.0092
2018-03-12,32.13,106.9401,68.5489,57.6787,42.6149,34.2475,79.9195,145.6522,58.9356,25178.6094,25.8187
2018-03-13,31.588,106.3128,65.5073,56.3745,42.2045,34.2782,79.409,144.5499,58.3622,25007.0293,25.8861
2018-03-14,32.155,105.5121,64.781,56.9352,41.8457,33.9678,79.55,143.7881,58.3887,24758.1191,25.7014
2018-03-15,32.109,106.5063,65.1895,56.9397,41.8949,33.8825,79.116,144.323,58.5563,24873.6602,25.6545
2018-03-16,31.845,106.9401,64.9626,56.2537,41.7472,33.7196,78.584,145.0443,58.1329,24946.5098,26.1412
2018-03-19,31.348,104.9983,63.873,54.475,41.1093,33.5644,77.2465,143.5368,57.9565,24610.9102,25.6369
2018-03-20,31.75,104.2309,61.921,54.3705,41.0953,33.4868,79.3255,144.396,58.9179,24727.2695,25.7835
2018-03-21,31.648,104.5578,63.0105,54.0322,40.1642,33.3627,79.093,144.2825,58.521,24682.3105,25.8509
2018-03-22,30.67,101.4883,60.6045,51.9618,39.5967,33.1765,77.246,142.0698,56.8187,23957.8906,25.5461
2018-03-23,30.094,99.353,59.3334,50.5992,38.6798,32.8428,74.778,139.2413,57.004,23533.1992,25.0418
2018-03-26,32.035,102.3424,58.5162,52.1664,40.516,33.1222,77.793,142.9533,58.1241,24202.5996,25.6516
2018-03-27,30.069,101.3682,61.013,49.7835,39.4771,33.2773,74.8525,141.5755,58.3622,23857.7109,25.2265
2018-03-28,28.577,101.7752,62.1026,49.7567,39.0409,33.611,71.571,141.6403,57.7184,23848.4199,25.7307
2018-03-29,29.535,102.3824,61.1946,51.1054,39.3458,33.6963,72.367,144.4608,58.6004,24103.1094,26.0825
2018-04-02,28.029,100.1404,59.5603,49.8513,39.0878,33.1066,68.5995,140.1328,56.5541,23644.1895,25.0799
2018-04-03,28.367,99.9936,59.6057,50.1951,39.4889,33.6575,69.6025,140.8298,58.8297,24033.3594,25.4464
2018-04-04,28.894,102.8429,60.2867,50.7761,40.244,34.3248,70.5285,143.8124,60.3467,24264.3008,25.5695
2018-04-05,29.397,102.7829,60.9676,50.9083,40.5231,34.4489,72.5875,145.1822,61.3787,24505.2207,25.7425
2018-04-06,28.885,100.474,59.288,49.8796,39.4865,34.0765,70.2615,141.3891,59.5794,23932.7598,25.4141
2018-04-09,28.993,101.8887,58.2439,50.2961,39.8781,34.0067,70.304,139.8167,59.2531,23979.0996,25.2939
2018-04-10,29.807,103.6903,59.2426,51.098,40.6286,34.1308,71.811,140.611,59.0943,24408.0,25.3438
2018-04-11,30.367,103.6703,58.8794,50.52,40.4386,34.1308,71.3525,140.1004,58.9444,24189.4492,25.1855
2018-04-12,30.925,105.4787,59.8327,51.1411,40.8373,34.1618,72.425,140.5056,59.7734,24483.0508,25.0447
2018-04-13,31.165,104.5712,61.24,50.9806,40.9756,34.5342,71.5395,140.0518,59.3148,24360.1406,25.2177
2018-04-16,30.778,105.3586,60.5137,51.412,41.2313,34.6661,72.075,141.3728,59.1472,24573.0391,25.4581
2018-04-17,33.606,107.3738,62.6019,53.2041,41.7988,34.8213,75.1915,141.7619,59.5441,24786.6309,25.7689
2018-04-18,33.452,99.2862,62.0118,53.101,41.705,34.5342,76.392,145.7656,58.3887,24748.0703,25.6721
2018-04-19,33.27,98.5589,63.5098,53.8747,40.5231,34.3791,77.8455,143.5206,57.9742,24664.8906,25.7659
2018-04-20,32.777,96.6905,66.0067,53.1446,38.8627,33.9368,76.3745,143.4639,58.2917,24462.9395,25.4992
2018-04-23,31.869,97.3311,65.9159,52.8717,38.7502,34.123,75.893,143.9907,58.9885,24448.6895,25.2412
2018-04-24,30.702,97.1309,66.6422,50.5205,38.2108,33.417,73.0045,142.856,59.0678,24024.1309,25.3672
2018-04-25,30.576,97.3845,63.7822,50.5799,38.3773,32.9204,73.0085,143.7719,58.8033,24083.8301,25.5548
2018-04-26,31.398,97.9049,65.2803,51.5141,38.511,33.1687,75.898,150.5232,60.0204,24322.3398,25.7806
2018-04-27,31.176,97.7448,65.2803,51.0193,38.0654,33.6032,78.631,151.123,61.3522,24311.1895,25.59
2018-04-30,31.246,96.7305,63.873,50.3892,38.7549,33.5256,78.3065,149.7776,60.3203,24163.1504,25.933
2018-05-01,31.33,96.7572,63.7822,51.3789,39.6554,33.0446,79.113,149.6398,60.0645,24099.0508,25.6252
2018-05-02,31.336,95.0556,64.3724,50.7384,41.4071,32.6334,78.484,150.6772,60.2056,23924.9805,25.3115
2018-05-03,31.169,94.7486,63.2375,50.7057,41.4822,32.5015,78.604,148.4727,59.0061,23930.1504,25.2793
2018-05-04,32.009,96.0298,64.0092,51.9187,43.1097,32.8661,79.0475,149.964,60.0645,24262.5098,25.6604
2018-05-07,32.626,95.5694,63.873,52.2447,43.4216,32.6954,80.007,148.7726,61.1582,24357.3203,25.0565
